category,name
Plant Forward,Roasted Acorn Squash
The Griddle,Vegan Cheddar Cheese
Specialty Bakery,Snickerdoodle Blondie
International Flavors,Diced Mango
Homemade Soups,Turkey Chili
Vegan Plant Forward,Sweet & Spicy Quinoa Bowl
Vegan Plant Forward,Flour Tortilla
The Kitchen Table,Cheddar Cheese
The Kitchen Table,Veggie Sausage
The Kitchen Table,Seasoned Baked Chicken Wings
Specialty Bakery,Vegan Jelly Filled Muffin
Bakery,Banana Nut Bread
Specialty Bakery,Berry Panna Cotta
Vegan Plant Forward,Pico Salsa
Rotisserie,Asian Vegetable Stir Fry
Burritos & Bowls,Sliced Avocado
International Flavors,Sweet and Sour Sauce
Specialty Bakery,Chocolate Chip Scones
Specialty Bakery,Assorted Yogurt Parfaits
The Kitchen Table,Wild Rice
Specialty Bakery,Chocolate and Berry Bundt Cake
Simply Prepared Grill,Roasted Potato Wedges
International Flavors,Brown Rice
The Griddle,Plain Cage-Free Omelet
International Flavors,Creamy Cheese Grits
Simply Prepared Grill,Mediterranean Beef Roast
International Flavors,Baby Spinach
Vegan Plant Forward,Brown Rice
Soup and Salads,Bean Chili
Vegan Plant Forward,Cauliflower Lentil Coconut Curry
The Griddle,"Bacon, Egg, and Cheese Chicken Biscuit"
Plant Forward,Quinoa and Barley Cake
Create,Vanilla Greek Yogurt
Rotisserie,Marinara Sauce
The Grill,American Cheese
Homemade Soups,Cheesy Caulilflower Soup
The Kitchen Table,Sausage Links
Specialty Bakery,Cranberry Orange Muffin
International Flavors,Tomatoes
International Flavors,Beefy Queso Mac & Cheese
The Kitchen Table,Pork Sausage Gravy
Create,Frozen Strawberries
Specialty Bakery,Vegan Cream Pie
The Kitchen Table,Sweet and Sour Pork Stir-fry
The Kitchen Table,Corn on the Cob
International Flavors,Bamboo Shoots
The Kitchen Table,French Toast
Rotisserie,Latin Braised Pork
International Flavors,Sweet Yellow Onion
Simply Prepared Grill,Honey BBQ Chicken
Vegan Plant Forward,Pico De Gallo Salsa
Bakery,Assorted Brownies
Specialty Bakery,Blueberry Lemon Pie Bars
Soup and Salads,Split Pea Soup
The Grill,Crinkle Cut Fries
Pasta Bar,Farfalle Pasta
Stress Less Cabinet,O'Doughs Original Sandwich Slices
The Grill,Philly Cheesesteak
